EncounterCode,RecoverDate,RecoverYear,RecoverMonth,RecoverSeason,RecoverVessel,RecoverProjectName,RecoverMethod,SpeciesCode,CommonName,TagCode,RecoverLength,SexDescription,RecoverTagTypeCode,RecoverMortality,RecoverLatitude,RecoverLongitude,RecoverPunchCardArea,ReleaseDate,ReleaseYear,ReleaseMonth,ReleaseSeason,ReleaseVessel,ReleaseProjectName,ReleaseMethod,ReleaseLengthCM,ReleaseTagTypeCode,ReleaseLatitude,ReleaseLongitude,ReleasePunchCardArea,DaysAtLiberty,GrowthCM,MovementMiles
PUBTAG1344,8/27/1982,1982,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,13069,49,Male,1SPG,Y,47.1416666,-124.2833333,PCA 2,8/13/1981,1981,8,Fall,Corliss,,At Sea,48,1SPG,47.1415,-124.4265,PCA 2,379,1,0.013932455
PUBTAG1374,4/12/1983,1983,4,Spring,,,Public Return,BLCK,BLACK ROCKFISH,1308,39,Unable to determine,1SPG,Y,47.45,-124.4,PCA 2,6/8/1982,1982,6,Spring,Corliss,,At Sea,42,1SPG,47.449,-124.4135,PCA 2,308,-3,0.083477804
PUBTAG1918,7/1/1987,1987,7,Fall,,,Public Return,BLCK,BLACK ROCKFISH,13095,,Unable to determine,1SPG,Y,,,,8/13/1981,1981,8,Fall,Corliss,,At Sea,48,1SPG,47.1415,-124.4265,PCA 2,2148,,
PUBTAG1525,8/29/1984,1984,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,13098,,Unable to determine,1SPG,Y,47.2311666,-124.2866666,PCA 2,8/13/1981,1981,8,Fall,Corliss,,At Sea,45,1SPG,47.1415,-124.4265,PCA 2,1112,,7.496694563
PUBTAG1515,7/15/1984,1984,7,Fall,,,Public Return,BLCK,BLACK ROCKFISH,13124,45,Unable to determine,1SPG,Y,47.3,-124.35,PCA 2,8/13/1981,1981,8,Fall,Corliss,,At Sea,44,1SPG,47.1415,-124.4265,PCA 2,1067,1,13.24893405
PUBTAG1321,7/1/1982,1982,7,Fall,,,Public Return,BLCK,BLACK ROCKFISH,13144,,Unable to determine,1SPG,Y,46.3666666,-124.1666666,PCA 1,8/13/1981,1981,8,Fall,Corliss,,At Sea,44,1SPG,47.1415,-124.4265,PCA 2,322,,64.94357726
PUBTAG1320,6/7/1982,1982,6,Spring,,,Public Return,BLCK,BLACK ROCKFISH,13163,,Unable to determine,1SPG,Y,47.1416666,-124.2583333,PCA 2,8/13/1981,1981,8,Fall,Corliss,,At Sea,49,1SPG,47.1415,-124.4265,PCA 2,298,,0.013932455
PUBTAG1399,5/22/1983,1983,5,Spring,,,Public Return,BLCK,BLACK ROCKFISH,13180,48,Female,1SPG,Y,47.2503333,-124.3333333,PCA 2,8/13/1981,1981,8,Fall,Corliss,,At Sea,42,1SPG,47.1415,-124.4265,PCA 2,647,6,9.098641951
PUBTAG1510,7/6/1984,1984,7,Fall,,,Public Return,BLCK,BLACK ROCKFISH,13194,44,Unable to determine,RSPG,Y,47.1166666,-124.2333333,PCA 2,8/13/1981,1981,8,Fall,Corliss,,At Sea,48,2SPG,47.1415,-124.4265,PCA 2,1058,-4,2.076923576
PUBTAG1454,9/25/1983,1983,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,1320,,Unable to determine,1SPG,Y,47.45,-124.4,PCA 2,6/8/1982,1982,6,Spring,Corliss,,At Sea,45,1SPG,47.449,-124.4135,PCA 2,474,,0.083477804
PUBTAG1467,10/31/1983,1983,10,Fall,,,Public Return,BLCK,BLACK ROCKFISH,13204,52,Male,LSPG,Y,46.3166666,-124.325,PCA 1,8/13/1981,1981,8,Fall,Corliss,,At Sea,52,2SPG,47.1415,-124.4265,PCA 2,809,0,69.14432632
PUBTAG1340,8/13/1982,1982,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,13207,50,Unable to determine,1SPG,Y,46.2791666,-124.1675,PCA 1,8/13/1981,1981,8,Fall,Corliss,,At Sea,48,1SPG,47.1415,-124.4265,PCA 2,365,2,72.2956736
PUBTAG1635,7/20/1985,1985,7,Fall,,,Public Return,BLCK,BLACK ROCKFISH,1322,47,Male,1SPG,Y,47.4083333,-124.3666666,PCA 2,6/8/1982,1982,6,Spring,Corliss,,At Sea,45,1SPG,47.449,-124.4135,PCA 2,1138,2,3.39518084
PUBTAG1309,5/3/1982,1982,5,Spring,,,Public Return,BLCK,BLACK ROCKFISH,13222,50,Male,1SPG,Y,46.3,-124.35,PCA 1,8/13/1981,1981,8,Fall,Corliss,,At Sea,49,1SPG,47.1415,-124.4265,PCA 2,263,1,70.54483643
PUBTAG1381,4/20/1983,1983,4,Spring,,,Public Return,BLCK,BLACK ROCKFISH,13224,43,Unable to determine,1SPG,Y,47.45,-124.4,PCA 2,8/13/1981,1981,8,Fall,Corliss,,At Sea,43,1SPG,47.1415,-124.4265,PCA 2,615,0,25.77602242
PUBTAG2149,8/11/1989,1989,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,13264,50,Female,1SPG,Y,47.2301666,-124.3443333,PCA 2,8/13/1981,1981,8,Fall,Corliss,,At Sea,42,1SPG,47.1415,-124.4265,PCA 2,2920,8,7.413109911
PUBTAG1427,7/10/1983,1983,7,Fall,,,Public Return,BLCK,BLACK ROCKFISH,1330,45,Unable to determine,1SPG,Y,47.45,-124.4583333,PCA 2,6/8/1982,1982,6,Spring,Corliss,,At Sea,43,1SPG,47.449,-124.4135,PCA 2,397,2,0.083477804
PUBTAG1382,4/20/1983,1983,4,Spring,,,Public Return,BLCK,BLACK ROCKFISH,13307,44,Male,1SPG,Y,46.3166666,-124.1583333,PCA 1,8/13/1981,1981,8,Fall,Corliss,,At Sea,31,1SPG,47.1415,-124.4265,PCA 2,615,13,69.14432632
PUBTAG1451,9/22/1983,1983,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,13309,45,Female,1SPG,Y,46.3166666,-124.2,PCA 1,8/13/1981,1981,8,Fall,Corliss,,At Sea,40,1SPG,47.1415,-124.4265,PCA 2,770,5,69.14432632
PUBTAG1485,4/19/1984,1984,4,Spring,,,Public Return,BLCK,BLACK ROCKFISH,13764,44,Unable to determine,1SPG,Y,46.3166666,-124.2166666,PCA 1,5/25/1983,1983,5,Spring,Corliss,,At Sea,42,1SPG,45.9238333,-124.0233333,PCA 1,330,2,33.04728734
PUBTAG1452,9/24/1983,1983,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,13782,39,Unable to determine,1SPG,Y,45.9,-123.9833333,PCA 1,5/25/1983,1983,5,Spring,Corliss,,At Sea,39,1SPG,45.9238333,-124.0233333,PCA 1,122,0,2.007406214
PUBTAG1493,4/29/1984,1984,4,Spring,,,Public Return,BLCK,BLACK ROCKFISH,13789,46,Unable to determine,1SPG,Y,46.3166666,-124.2166666,PCA 1,5/25/1983,1983,5,Spring,Corliss,,At Sea,43,1SPG,45.9238333,-124.0233333,PCA 1,340,3,33.04728734
PUBTAG1409,6/10/1983,1983,6,Spring,,,Public Return,BLCK,BLACK ROCKFISH,13833,48,Unable to determine,1SPG,Y,46.3166666,-124.2,PCA 1,5/25/1983,1983,5,Spring,Corliss,,At Sea,46,1SPG,45.9238333,-124.0233333,PCA 1,16,2,33.04728734
PUBTAG1436,8/1/1983,1983,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,13865,41,Unable to determine,1SPG,Y,45.9416666,-124,PCA 1,5/25/1983,1983,5,Spring,Corliss,,At Sea,41,1SPG,45.9238333,-124.0233333,PCA 1,68,0,1.501864066
PUBTAG1711,9/28/1985,1985,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,13973,47,Unable to determine,1SPG,Y,46.3166666,-124.1583333,PCA 1,5/25/1983,1983,5,Spring,Corliss,,At Sea,41,1SPG,45.9238333,-124.0233333,PCA 1,857,6,33.04728734
PUBTAG1527,1/25/1985,1985,1,Spring,,,Public Return,BLCK,BLACK ROCKFISH,13978,42,Unable to determine,1SPG,Y,46.3166666,-124.1583333,PCA 1,5/25/1983,1983,5,Spring,Corliss,,At Sea,40,1SPG,45.9238333,-124.0233333,PCA 1,611,2,33.04728734
PUBTAG1461,10/19/1983,1983,10,Fall,,,Public Return,BLCK,BLACK ROCKFISH,13990,42,Male,1SPG,Y,46.3166666,-124.1583333,PCA 1,5/25/1983,1983,5,Spring,Corliss,,At Sea,38,1SPG,45.9238333,-124.0233333,PCA 1,147,4,33.04728734
PUBTAG1507,7/3/1984,1984,7,Fall,,,Public Return,BLCK,BLACK ROCKFISH,13992,,Unable to determine,1SPG,Y,45.9416666,-124,PCA 1,5/25/1983,1983,5,Spring,Corliss,,At Sea,41,1SPG,45.9238333,-124.0233333,PCA 1,405,,1.501864066
PUBTAG1521,8/7/1984,1984,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,14028,42,Male,1SPG,Y,47.1166666,-124.2666666,PCA 2,5/14/1982,1982,5,Spring,Whistler,,At Sea,43,1SPG,47.2323333,-124.287,PCA 2,816,-1,9.671134412
PUBTAG1370,4/7/1983,1983,4,Spring,,,Public Return,BLCK,BLACK ROCKFISH,14033,43,Unable to determine,RSPG,Y,46.2833333,-124.1833333,PCA 1,5/14/1982,1982,5,Spring,Whistler,,At Sea,42,2SPG,47.2323333,-124.287,PCA 2,328,1,79.53934235
PUBTAG1439,8/8/1983,1983,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,14071,46,Female,1SPG,Y,46.35,-124.1916666,PCA 1,5/14/1982,1982,5,Spring,Whistler,,At Sea,41,1SPG,47.2323333,-124.287,PCA 2,451,5,73.93759347
PUBTAG1324,7/8/1982,1982,7,Fall,,,Public Return,BLCK,BLACK ROCKFISH,14117,43,Male,1SPG,Y,46.1166666,-124.1,PCA 1,5/14/1982,1982,5,Spring,Whistler,,At Sea,41,1SPG,47.1843333,-124.2773333,PCA 2,55,2,89.54067515
PUBTAG1455,9/28/1983,1983,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,14223,47,Female,1SPG,Y,47.45,-124.4,PCA 2,5/14/1982,1982,5,Spring,Whistler,,At Sea,47,1SPG,47.1843333,-124.2773333,PCA 2,502,0,22.19441489
PUBTAG1450,9/21/1983,1983,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,1439,46,Female,2SPG,Y,46.3166666,-124.2,PCA 1,5/25/1983,1983,5,Spring,Corliss,,At Sea,46,2SPG,45.8636666,-123.9988333,PCA 1,119,0,38.11542528
PUBTAG1442,8/16/1983,1983,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,1470,,Unable to determine,1SPG,Y,45.9416666,-124,PCA 1,5/25/1983,1983,5,Spring,Corliss,,At Sea,41,1SPG,45.8636666,-123.9988333,PCA 1,83,,6.57005177
PUBTAG1620,7/13/1985,1985,7,Fall,,,Public Return,BLCK,BLACK ROCKFISH,1472,47,Unable to determine,1SPG,Y,45.527,-123.9871666,PCA 1,5/25/1983,1983,5,Spring,Corliss,,At Sea,47,1SPG,45.8636666,-123.9988333,PCA 1,780,0,28.39172904
PUBTAG1453,9/25/1983,1983,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,14859,,Unable to determine,1SPG,Y,47.45,-124.4,PCA 2,5/14/1982,1982,5,Spring,Whistler,,At Sea,49,1SPG,47.1843333,-124.2773333,PCA 2,499,,22.19441489
